,open,close,high,low,total_turnover,volume
2012-03-26,2551.425,2555.442,2562.929,2540.696,36356133943.0,3181621100.0
2012-03-27,2565.551,2547.143,2571.899,2544.373,47394454857.0,3594460400.0
2012-03-28,2538.458,2474.9,2540.417,2471.034,54993640999.0,5000579000.0
2012-03-29,2463.688,2443.122,2476.478,2429.732,48651595893.0,4613130400.0
2012-03-30,2447.939,2454.899,2461.977,2438.488,39139734882.0,3702708600.0
2012-04-05,2449.208,2512.832,2517.386,2441.269,58049690964.0,5433168700.0
2012-04-06,2509.445,2519.83,2525.534,2502.703,47207795088.0,4236857600.0
2012-04-09,2510.533,2495.146,2518.378,2491.592,38180751755.0,3537098600.0
2012-04-10,2490.283,2519.788,2519.812,2459.348,44064833898.0,4133590500.0
2012-04-11,2494.517,2520.036,2541.126,2489.325,43627983913.0,4251031000.0
2012-04-12,2522.828,2570.436,2570.842,2516.568,59536950778.0,5648840900.0
2012-04-13,2575.052,2580.454,2593.788,2570.035,61892977442.0,5309264300.0
2012-04-16,2564.231,2574.044,2586.198,2559.781,42650756402.0,4083970000.0
2012-04-17,2572.364,2541.883,2578.76,2541.535,38328417080.0,3781546700.0
2012-04-18,2550.905,2599.908,2602.106,2545.996,59361005883.0,5868840800.0
2012-04-19,2598.329,2596.056,2606.86,2585.301,55512931549.0,4644810900.0
2012-04-20,2591.51,2626.839,2627.375,2589.351,63829908072.0,6144637900.0
2012-04-23,2624.751,2606.038,2632.092,2599.112,62073949557.0,5866493800.0
2012-04-24,2594.801,2604.866,2640.295,2559.464,73150514001.0,7113955800.0
2012-04-25,2598.228,2625.99,2631.438,2593.327,63529458933.0,6246805300.0
2012-04-26,2632.718,2631.487,2643.768,2617.089,64377486667.0,5896566700.0
2012-04-27,2630.549,2626.157,2637.918,2623.598,53345515969.0,4823358600.0
2012-05-02,2660.673,2683.487,2697.949,2643.527,92366091966.0,8014865400.0
2012-05-03,2679.517,2691.518,2693.88,2675.811,72337336415.0,5936109000.0
2012-05-04,2689.624,2715.879,2716.033,2677.14,73699551125.0,6321808600.0
2012-05-07,2699.447,2717.778,2717.778,2694.321,82715668565.0,6854731400.0
2012-05-08,2717.408,2709.116,2717.825,2683.562,73744497984.0,6311084000.0
2012-05-09,2685.187,2657.514,2685.187,2655.322,69482578578.0,5840028300.0
2012-05-10,2657.87,2657.214,2667.675,2649.38,54056953614.0,4696257600.0
2012-05-11,2652.313,2636.917,2666.566,2636.523,49392898299.0,4100614300.0
2012-05-14,2653.806,2615.534,2656.284,2613.349,60331294491.0,5208248400.0
2012-05-15,2597.644,2617.374,2618.175,2591.598,51374761939.0,4576727100.0
2012-05-16,2610.161,2574.647,2612.625,2574.082,47863536278.0,4328027400.0
2012-05-17,2577.961,2613.942,2619.589,2571.201,49203910040.0,4372838900.0
2012-05-18,2595.547,2573.976,2603.191,2567.302,46907511775.0,4342212400.0
2012-05-21,2572.369,2587.231,2604.219,2563.973,44300405781.0,3860209000.0
2012-05-22,2598.167,2627.525,2627.602,2597.603,49392413014.0,4277352900.0
2012-05-23,2621.786,2616.869,2635.78,2598.29,52563403310.0,4371953100.0
2012-05-24,2613.095,2595.26,2630.414,2588.209,50064439874.0,4284406600.0
2012-05-25,2595.261,2573.103,2602.17,2565.647,41420081778.0,3927300400.0
